Total Time,Init Time,Write to crypto stream,
4810105,4669958,59097,
5238620,5100508,57266,
3772965,3652939,56792,
4017897,3920261,44235,
2460251,2390499,31111,
6556739,6488327,29333,
3232177,3100039,90268,
3296285,3216953,34104,
2840501,2766023,32597,
2454002,2387387,30794,
4847381,4732372,52734,
3250814,3150284,45098,
3422719,3350785,32965,
4273475,4157675,50922,
2367715,2297750,31842,
4983863,4856464,50771,
4495047,4368413,52114,
4711422,4594370,53410,
4324111,4206320,54521,
3381071,3300245,37607,
2289009,2220464,31012,
3071336,2995713,32191,
2369108,2302750,30462,
2820685,2751528,29214,
2949935,2867876,39391,
2292117,2225082,30910,
2714950,2653049,26615,
2310673,2246178,29124,
3581037,3475305,46356,
2250892,2186319,28897,
2178351,2114563,28306,
5241237,5096054,64898,
4642379,4518257,52439,
13132301,12991745,62089,
4997888,4871566,57964,
2540037,2466563,34945,
3559294,3474781,38637,
3387501,3303355,39767,
3443573,3354368,37516,
2320387,2253826,30753,
2520207,2454687,30403,
2246873,2180680,30723,
2554759,2478801,37497,
2637776,2560116,36214,
3053647,2971570,39505,
2509465,2422133,43605,
5173886,5043905,58783,
5476115,5344180,59054,
4641153,4504947,57519,
5670404,5500810,77990,
4238605,4120776,51868,
2667302,2595397,34727,
2379460,2306435,35019,
4905924,4765097,60801,
5011981,4874229,55815,
5066157,4945808,51575,
4595705,4475324,50426,
4001633,3887386,50733,
3681307,3589811,43303,
2443806,2369439,36067,
7826765,7738250,37607,
4888746,4747279,55007,
6195097,6028812,67771,
4801609,4663386,53423,
4398973,4276553,55348,
5162115,5033607,54260,
2346530,2280722,29238,
2467137,2398732,31626,
2327257,2257586,31762,
2460633,2391692,28266,
2272141,2205947,29510,
4386791,4265595,53438,
5583269,5447661,61368,
2509117,2434571,35837,
2494869,2428125,29907,
4913155,4774060,63658,
4068680,3951058,50375,
2574040,2504955,33933,
3004712,2919854,38112,
6151180,5992384,71727,
2188722,2123528,28850,
2996814,2907830,41589,
3375625,3283215,49384,
3052955,2970493,38481,
3265286,3180728,36757,
2685442,2611048,36171,
3435197,3352367,39497,
3914358,3788349,61832,
7165973,7094468,31405,
5061186,4959348,53019,
2839824,2746708,47731,
2681036,2615497,29856,
2870703,2780382,47210,
2622512,2556436,30108,
2398530,2329298,33159,
3973761,3890149,37234,
2491413,2416819,36135,
2402849,2334562,30502,
2820809,2748769,30061,
3631157,3560524,34657,
2238963,2167057,34665,
2286600,2221888,28896,
2561578,2493241,32664,
4050370,3977868,33907,
2610445,2536932,35335,
2667552,2590660,39422,
4988982,4853052,64805,
6025116,5849256,80394,
3322138,3223291,37780,
3199566,3129216,31224,
2328202,2261646,29224,
7887599,7602782,71452,
4933982,4797850,55585,
4581064,4456299,55611,
2717205,2643796,35814,
4536857,4406138,64715,
3513147,3413833,47660,
3366127,3278491,40168,
2987806,2910372,36066,
3315641,3227209,42863,
4049349,3963888,35839,
4483237,4376327,62657,
3502837,3409602,47764,
3089809,3017307,29196,
7290629,7151150,67069,
2163812,2097826,33530,
4125619,4022533,46577,
4911668,4767763,87528,
3028462,2938559,43411,
4006359,3868367,79052,
3501584,3395150,47268,
2682317,2608008,32725,
3536368,3453943,32972,
4526165,4399948,57060,
4367687,4279094,28839,
3088092,2993975,40561,
3032042,2954028,37663,
2521554,2451362,34606,
2718517,2641573,36099,
2866803,2793860,36325,
3078255,2998171,36411,
5414338,5277398,56859,
5666517,5505331,71005,
6619114,6541261,35791,
6978514,6776850,88413,
2369426,2303379,29855,
2372946,2304874,30950,
2420414,2351070,31654,
6160487,6001642,65621,
7798015,7605634,83608,
2618224,2542698,36627,
6053926,5903458,63444,
2933265,2858120,35199,
4075062,3981116,44178,
2917637,2836607,34101,
5118582,5009190,46365,
2713237,2636961,37365,
4699754,4569701,57903,
3740282,3637140,47512,
4234686,4094360,46117,
4421243,4313180,48611,
4979259,4844082,68642,
4598533,4484685,54772,
4395513,4280530,55867,
6895215,6353948,444569,
4229332,4107272,58212,
3446276,3337677,47890,
5133061,4979146,69945,
4133518,4014052,51793,
4620618,4419133,127247,
11956760,11848243,48502,
5693228,5588316,49854,
3779213,3675122,41531,
4679191,4523545,74313,
5300596,5139417,70323,
8476028,8273591,82518,
6608716,6456048,46323,
6346657,6215371,64864,
3740368,3639606,44844,
4155651,4055947,45912,
4437903,4315048,56795,
7515810,7326543,68860,
3206685,3129002,30347,
2377299,2305097,34021,
2380157,2313941,30576,
2363618,2298421,29110,
2581305,2510564,33650,
3034664,2963927,29589,
2489032,2412758,37008,
3146999,3080571,28581,
3100705,3010806,40912,
6762657,6606358,72194,
4509967,4378997,60679,
3467149,3364938,42615,
4461594,4319049,68109,
2414945,2341900,36410,
